"ID","Key","Value"
"id-0aaec45a1bf14da7b08da508be5ecbb0","Access_Type","Write"
"id-bf22b4c64c1f4d12841916788e6a212e","Access_Type","Write"
"id-e0db11b81918474094773fa2a51fb30c","Access_Type","Write"
"id-260c8df658314d09a8d91dee49a8e577","Directed","true"
"id-929340df800549a79484fd1230e5fa2b","Directed","true"
"id-28a9cd75fedc4d979882c472a0bcd1cd","Access_Type","Write"
"id-d71074790e2b4da59754865cd0b14473","Access_Type","Write"
"id-f05fe6ae79d24730aa1b836e25032356","Access_Type","Write"
"id-b0cf169dd5eb4c3290b8e72001694d16","Directed","false"
