question,familiarity_group,n,score_1,score_2,score_3,score_4,score_5,mean
Agreement with the structure of the metamodel,low (ArchiMate familiarity <= 2),14,1,1,1,10,1,3.64
Agreement with the structure of the metamodel,high (ArchiMate familiarity >= 3),9,0,0,2,6,1,3.89
Agreement with the purpose and objectives of the artifact,low (ArchiMate familiarity <= 2),14,0,1,0,6,7,4.36
Agreement with the purpose and objectives of the artifact,high (ArchiMate familiarity >= 3),9,0,1,1,4,3,4.0
Completeness of the domain concepts incorporated,low (ArchiMate familiarity <= 2),14,0,0,2,7,5,4.21
Completeness of the domain concepts incorporated,high (ArchiMate familiarity >= 3),9,0,0,1,6,2,4.11
Adequacy of the model for digital risk management practice,low (ArchiMate familiarity <= 2),14,0,1,1,9,3,4.0
Adequacy of the model for digital risk management practice,high (ArchiMate familiarity >= 3),9,0,0,1,5,3,4.22
